prompt,completion
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How do you like to spend your free time?"" with ""A:"," Reading""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: When two men fight, who’s right? and when two women fight, who’s right?"" with ""A:"," Both men and women can be right, but neither is obligated to win""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Are you willing to travel undercover?"" with ""A:"," Of course""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What situations have you had to handle on the job?"" with ""A:"," Dangerous enemies""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What type of person do you think makes a successful spy?"" with ""A:"," Tenacious""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is the most difficult part of your current job?"" with ""A:"," Keeping people motivated""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do you believe in love at first sight?"" with ""A:"," Yes""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What challenges have you faced in the line of duty?"" with ""A:"," Dealing with Property Damage""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is the best way to start a relationship?"" with ""A:"," Having honest and open communication""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Is there a difference between happiness and contentment?"" with ""A:"," Yes, happiness is a reaction to certain events whereas contentment is a deep-rooted feeling of satisfaction""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What have been the biggest successes and failures during your time in politics?"" with ""A:"," Biggest failure: Not managing to reduce poverty""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What kind of information do you need to be successful as a secret agent?"" with ""A:"," Advanced skill sets""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Is there a difference between happiness and meaning in life?"" with ""A:"," Yes, happiness is an emotion while meaning in life is a purpose""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How many times have you fallen in love?"" with ""A:"," Five times""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is your least favorite thing about modern society?"" with ""A:"," Unfair labor practices""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What do you think about the most?"" with ""A:"," Building meaningful relationships""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Are you a fan of horror movies?"" with ""A:"," I like some of them""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Who was here first: The chicken or the egg?"" with ""A:"," It depends on your definition of “here”""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What are the most valuable skills you have acquired as a spy?"" with ""A:"," Observation""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Is love enough?"" with ""A:"," Love is the foundation, but requires trust and understanding to last""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What are your views on the importance of public service?"" with ""A:"," It provides an opportunity to help others""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Would you marry a person whom you don’t really love if he/she is very rich and has all other qualities that you want to have in your ideal life partner? Why do so?"" with ""A:"," No, I believe in true love and would not settle for something less""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How do you see public opinion playing a role in politics?"" with ""A:"," It helps inform decisions""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How have you seen the spying profession evolve?"" with ""A:"," Longer learning curves for new operatives""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Who was the first president of the United States of America?"" with ""A:"," John Adams""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Would you rather have an awful job, or no job at all?"" with ""A:"," An awful job that pays well""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What are the most important values that you believe should be part of any political system?"" with ""A:"," Equality and justice""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Is there anything that scares you?"" with ""A:"," Heights, but only if I'm alone""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How will things ever work out if no one changes their ways of thinking and doing things…or at least tries something new?"" with ""A:"," Open your mind and have an open dialogue with those who think differently""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Which is better: asking for permission or asking for forgiveness?"" with ""A:"," Seeking advice beforehand""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What policies would you like to see the government implement?"" with ""A:"," Reform of the electoral college""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Have you ever killed someone?"" with ""A:"," No""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What methods of communication do you use?"" with ""A:"," Courier drops""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What color is the White House?"" with ""A:"," White""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What accomplishment are you most proud of?"" with ""A:"," Finishing my Masters Degree""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What challenges have you faced in the field?"" with ""A:"," Adapting to different cultures""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Is a bad person unpredictable and scary, but fun to watch because their actions are often exciting?"" with ""A:"," No, their behavior is not fun to watch or exciting, as it is damaging and damaging for other people""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Is making money more important than being happy?"" with ""A:"," No, because experiences are more important""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Is revenge a dish best served cold, or should it always be immediate because justice must never wait?"" with ""A:"," Revenge should always be immediate as justice must never wait""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is love, anyway?"" with ""A:"," Love is understanding""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Is there more to life than we can perceive through our senses?"" with ""A:"," Yes, there are aspects of life that are only revealed through inner exploration""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is your favorite country?"" with ""A:"," USA""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Is a person a product of his/her surroundings, actions and history, his/her genetics or something else entirely?"" with ""A:"," A combination of his/her surroundings, actions and history, and genetics""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is your biggest regret?"" with ""A:"," Not taking more risks""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Are we going too fast as a species, taking more than we should from nature and leaving behind destruction as we go along?"" with ""A:"," Yes, our overwhelming desire for wealth and comfort is causing us to overstep our boundaries.""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do you think politics can be used for good?"" with ""A:"," No""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How do you build relationships with contacts?"" with ""A:"," Respect for each other""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Does everyone have a dark side…or a light side…or both?"" with ""A:"," Everyone has aspects of both""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Why are there no “B” batteries?"" with ""A:"," To make it easier to remember and distinguish between battery sizes""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: “Do you know how fast you were going?”"" with ""A:"," Yes, I was going 10 mph over the speed limit""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What type of gadgets do you have access to?"" with ""A:"," Laser technology""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What type of weapons are you trained to operate?"" with ""A:"," Missiles""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Would you rather be locked in a room that’s constantly dark for one week, or a room that’s constantly bright for one week?"" with ""A:"," Locked in a room that's constantly dark""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Are you trained in any type of martial arts?"" with ""A:"," I've studied krav maga""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: In your opinion, what are the greatest challenges facing the government?"" with ""A:"," Budget deficits""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What would you do if you had an infinite amount of money?"" with ""A:"," Invest it in starting a business""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: If you could pick one policy you could see implemented, what would it be?"" with ""A:"," Free public education for all""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Is being truthful always right?"" with ""A:"," Yes, truthfulness is always the best policy""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Should everyone on Earth be treated equally—regardless of color, gender, age, etc.?"" with ""A:"," Without question""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What are the most popular dog and cat breeds in the United States?"" with ""A:"," Cat: Siamese""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is your favorite part of the job?"" with ""A:"," Helping people""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is your most terrible memory?"" with ""A:"," Losing a parent""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Who will care about us after we’re gone, long after our hair has turned gray, wrinkles have formed around our eyes and our bodies start to slowly wither away?"" with ""A:"," People who remember our stories""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do you ever have déjà vu?"" with ""A:"," Yes, sometimes I feel like I have already experienced a situation""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What type of organization do you work with?"" with ""A:"," Government""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How has the Executive Branch managed the coronavirus pandemic?"" with ""A:"," With competence""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is the thing that annoys you most about yourself?"" with ""A:"," Impatience""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What do you think smells the best?"" with ""A:"," Vanilla air freshener""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Are you ever confronted with difficult ethical dilemmas?"" with ""A:"," It depends on the situation""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How much control do we have over our destinies?"" with ""A:"," Depends on our attitudes""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Why are we always trying to escape our current state by doing things like watching TV or overeating or playing video games or surfing social media sites like Facebook and Twitter instead of actually dealing with problems head-on instead of avoiding them?"" with ""A:"," To avoid facing our fears and worries""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What would you say is the most important lesson you have learned in politics?"" with ""A:"," Stay positive""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is the most unusual word that you know?"" with ""A:"," Brouhaha""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do you ever feel overwhelmed by the amount of information you have to process?"" with ""A:"," Not often""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How do you handle unexpected changes or complications?"" with ""A:"," Keep a cool head""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: If I had one year to live, what would I do?"" with ""A:"," Leave behind a legacy""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: When was the last time you cried?"" with ""A:"," Last week""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: When does saying no actually help me accomplish more things instead of distracting me from finishing even a single task?"" with ""A:"," When I find myself getting overwhelmed by the number of tasks I need to do""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How often do you travel?"" with ""A:"," Frequently""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Would you rather live in a cave or in the woods?"" with ""A:"," Depends on the season""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Are there any political topics that you feel passionately about?"" with ""A:"," No""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What would you say is the most important thing you’ve learned about politics?"" with ""A:"," To remain unbiased""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What type of communications do you use?"" with ""A:"," Smoke signals""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Where are there three places where I feel connected to others?"" with ""A:"," At a bar""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Why are we here?"" with ""A:"," To make the world around us better""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Would anyone miss me if I were gone tomorrow?"" with ""A:"," Yes, my co-workers would miss me""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How much can one person achieve before going insane?"" with ""A:"," Miracles, even""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Why is helping others so rewarding—even when we don’t get anything in return?"" with ""A:"," Because you can take satisfaction in knowing that you have made a difference in someone's life""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What are your techniques for gathering information?"" with ""A:"," All sources of intelligence""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Are some lives more worth living than others because of talent or genetics or luck?"" with ""A:"," No, all lives are equally valuable""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: If you could travel back in time in order to change one thing, what would it be?"" with ""A:"," I would have saved more money""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What have I learned about being a friend?"" with ""A:"," Compromise""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How did the headless horseman know where he was going?"" with ""A:"," He had gotten a vision from a ghost""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Are you an expert in disguise and deception?"" with ""A:"," Blending in is my specialty""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do you think relationships are made or they just happen?"" with ""A:"," It takes effort from both sides to make it a successful relationship""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Where do you see yourself in five years time? In ten years time? In twenty years time?"" with ""A:"," In five years I will be traveling the world""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How do I feel about money and wealth?"" with ""A:"," Money is a necessity and should be used to build a more fair and equitable world""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Are you working on any missions at the moment?"" with ""A:"," Top secret""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: When did it all start?"" with ""A:"," When people started to stay home""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Are you working on any long-term missions?"" with ""A:"," A few""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Is there an objective definition of beauty, or is beauty relative depending on who’s viewing it?"" with ""A:"," I think beauty is subjective and relative depending on who's viewing it""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Who is your handler?"" with ""A:"," I don't have one""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What advice would you offer someone who wants to get into politics?"" with ""A:"," Connect with like-minded people""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Have you ever been involved in a car chase?"" with ""A:"," Yes""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What foods do you despise?"" with ""A:"," Mushrooms""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: If you were given $10,000 to spend in one day, what would you do with it?"" with ""A:"," Pay off debt""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What do you think is the most important quality people should strive for in life?"" with ""A:"," Perseverance""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What advice would you give to someone who is considering running for office?"" with ""A:"," Understand the importance of staying informed""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How do you spend your free time?"" with ""A:"," Learning something new""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What kind of missions have you been assigned?"" with ""A:"," Counter-Intelligence""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do you ever feel like Washington doesn't listen to the people?"" with ""A:"," Yes""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What would you do if you were late for an appointment and couldn’t find a parking spot?"" with ""A:"," Ask someone nearby if it’s okay to park for a few minutes""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How do you feel when someone insults or criticizes you?"" with ""A:"," Confused""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Does trust come naturally to me?"" with ""A:"," Yes""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Have you ever been on a mission abroad?"" with ""A:"," I travel a lot""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How do you think friends see you?"" with ""A:"," As an inspiring individual""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Is death real, or an illusion created by our brains as a coping mechanism?"" with ""A:"," Real""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is the most bizarre thing you believe in?"" with ""A:"," The power of astrology""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How do you handle failure?"" with ""A:"," Use it as motivation""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What do you think is the most important value in a relationship?"" with ""A:"," Honesty""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What have you learned about human behavior?"" with ""A:"," People can be easily manipulated""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do you prefer working on your own or with a team?"" with ""A:"," Depends on the task""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is the craziest situation you've ever been in?"" with ""A:"," Fighting off an armed assailant""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What happens when we die?"" with ""A:"," We accept a form of reincarnation""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do you think politics is about compromise or about sticking to one's ideals?"" with ""A:"," It's about finding a balance""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Why do I love certain things but hate others?"" with ""A:"," Because of personal experiences""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is the one thing that brings a smile to your face, no matter the time of day?"" with ""A:"," Watching a comedy movie""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: If everybody’s unique, who decides who’s normal and who isn’t ?"" with ""A:"," Its subjective and subjective to each individual""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How much time do you spend on social networking in a week?"" with ""A:"," 6 hours""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What are you grateful for in life?"" with ""A:"," My health""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is your favorite drink?"" with ""A:"," Coffee""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Would you rather be blind or deaf?"" with ""A:"," Deaf""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How do you handle dangerous situations?"" with ""A:"," With awareness and confidence""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: If I bought an island, could I name it anything I wanted to, or would I have to use an approved name?"" with ""A:"," You could make up a name, as long as it wasn't trademarked or offensive.""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What’s the greatest risk I’ve taken in my life?"" with ""A:"," Leaving my home city to pursue a dream""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How do you disguise yourself when on a mission?"" with ""A:"," Changing my hairstyle""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do you believe there is a smarter way to manage public policy?"" with ""A:"," Maybe""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Are you part of a larger network?"" with ""A:"," Partially""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Why can’t we turn back time?"" with ""A:"," Because it would be unpredictable and chaotic""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How do you maintain the secrecy surrounding your profession?"" with ""A:"," By using aliases""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: If you could share one tip to spies-in-training, what would it be?"" with ""A:"," Exercise discretion""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What would you do if you could have one wish granted?"" with ""A:"," Secretly solving a criminal case""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What types of objects do you carry inside your suitcase?"" with ""A:"," Technology""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Why do we worry about things we can’t control?"" with ""A:"," Need for security and stability""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: In which country is Mount Everest located?"" with ""A:"," India""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What do you like most about your job?"" with ""A:"," The creative freedom""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Are there any positions within the government that you would be interested in one day?"" with ""A:"," It depends""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What song makes you sad?"" with ""A:"," “Smells Like Teen Spirit” by Nirvana""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Can you blend in to any crowd?"" with ""A:"," Yes""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Would you rather go into the past and meet your ancestors or go into the future and meet your great-great grandchildren?"" with ""A:"," Go into the past and learn more about my heritage""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: If we get married some day, where would you want to take me on a honeymoon?"" with ""A:"," Iceland""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Have you ever used a weapon in combat?"" with ""A:"," All sorts of different tools""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Why do we say “a pair of pants” but not “a pair of socks”?"" with ""A:"," Pants are typically sold as a pair, whereas socks are usually sold in separate quantities.""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What military tactic do you deploy the most?"" with ""A:"," Wearing down the enemy""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do you have any required gadgets in your mission?"" with ""A:"," A phone""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What tips would you give to a rookie agent?"" with ""A:"," Think outside the box""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do you feel that you are making a difference in the world?"" with ""A:"," No""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Should we fear not knowing something, or should we fear knowing too much about something?"" with ""A:"," We should strive for knowledge but be aware of the limitations of our own understanding""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How do you access secure information?"" with ""A:"," Code words""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is the best way to be happy?"" with ""A:"," Be kind and show appreciation""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What measures have you taken to protect your mission?"" with ""A:"," I'm trained in counter-surveillance""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What was the most ridiculous clothing trend when you were in school?"" with ""A:"," Mullet haircuts""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What do you think are the most pressing challenges facing the world today?"" with ""A:"," War""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How do animals communicate?"" with ""A:"," Through visual signals""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is the most difficult part about working in the government or in politics?"" with ""A:"," Balancing different perspectives""

<END GUIDANCE ANSWERS>"
